title,released,genres,description,link
Operation Chromite,2016,war film,1950 amphibious invasion during the Korean War in Incheon resulting in a victory and strategic reversal in favor of the UN Command,http://www.wikidata.org/entity/Q21780588
Oswald. The Minsk Mystery,2016,documentary film,American former marine who assassinated John F. Kennedy,http://www.wikidata.org/entity/Q92921737
Our Kind of Traitor,2016,thriller film/film based on a novel,major mountain range system in central Europe,http://www.wikidata.org/entity/Q17019453
Panfilov's 28 Men,2016,drama film/war film,1941 World War II campaign in Russia,http://www.wikidata.org/entity/Q16514509
Passengers,2016,drama film/action film/adventure film/science fiction film/romance film/melodrama/thriller film/speculative/fantastic fiction film,unpleasant emotional response to isolation/spacecraft with passengers put into suspended animation for long duration travel,http://www.wikidata.org/entity/Q20962283
Paterson,2016,drama film/comedy film/comedy drama,"literary style characterized by a strong expressiveness of words/city in and the county seat of Passaic County, New Jersey, United States/physical or emotional intimacy between humans/action that is becoming a habit through constant repetition",http://www.wikidata.org/entity/Q23817035
Patriots Day,2016,drama film/action film/crime film,"use of violence as a form of political, economic and religious coercion",http://www.wikidata.org/entity/Q23767799
Pavlensky - Man and Might,2016,documentary film/biographical film,russian artist,http://www.wikidata.org/entity/Q28865064
Pawn Sacrifice,2016,drama film/biographical film,1947–1991 tension between the Soviet Union and the United States and their respective allies,http://www.wikidata.org/entity/Q15409303
Pelé: Birth of a Legend,2016,drama film/biographical film/association football film,Brazilian footballer (1940–2022),http://www.wikidata.org/entity/Q15141749
Phantasm: Ravager,2016,horror film,entites or phenomena that are thought to be beyond the laws of nature,http://www.wikidata.org/entity/Q16254109
Planet FIFA,2016,documentary film,international governing body of association football,http://www.wikidata.org/entity/Q46126766
Poi E,2016,documentary film/biographical film/family film/historical film,1983 single,http://www.wikidata.org/entity/Q26863815
Projekt A,2016,documentary film,political philosophy and movement,http://www.wikidata.org/entity/Q22054100
Prowl,2016,drama film,"engaging in sexual relations in exchange for payment/type of discrimination or disapproval based on perceivable social characteristics that serve to distinguish a person from other members of a society/social phenomenon characterized by the exclusion of social groups from the economic, cultural and political life/process of categorising acts as crimes/commission of an unlawful act in an official capacity, which affects the performance of official duties/social class formed by people suffering from precarity",http://www.wikidata.org/entity/Q45315363
Race,2016,drama film/biographical film/sport film,dictator of Germany from 1933 to 1945,http://www.wikidata.org/entity/Q17515125
Raving Iran,2016,documentary film,"music that mainly employs electronic musical instruments, digital instruments and circuitry-based music technology/music and musical traditions of Iran",http://www.wikidata.org/entity/Q26864005
Raw,2016,drama film/horror film,"desire for a specific item or event/stigmatized deviance from biological or social norms/fundamental characteristics of human beings/relationship between siblings/process by which a young adult tries to define their life goals, their place in society, and their own world view/practice of humans eating the flesh or internal organs of other human beings/concept of existing in a physical form",http://www.wikidata.org/entity/Q21427355
Remember,2016,drama film/thriller film,"private individual who tracks down and gathers information on alleged former Nazis, SS members, and Nazi collaborators who were involved in the Holocaust",http://www.wikidata.org/entity/Q18153484
Resident Evil: The Final Chapter,2016,action film/horror film/science fiction film/biopunk/post-apocalyptic film/zombie film,rapid spread of infectious disease to a large number of people in a given population within a short period of time,http://www.wikidata.org/entity/Q12049257
Restless Creature: Wendy Whelan,2016,documentary film,American ballet dancer,http://www.wikidata.org/entity/Q47465919
Resurrection,2016,documentary film,contamination of water bodies,http://www.wikidata.org/entity/Q39073539
Richard Müller: Nespoznany,2016,documentary film/biographical film,Slovak singer and songwriter,http://www.wikidata.org/entity/Q46078973
Right Footed,2016,documentary film,Armless aviator,http://www.wikidata.org/entity/Q20949952
Riphagen,2016,war film,"Dutch criminal,  nazi collaborator (1909-1973)",http://www.wikidata.org/entity/Q22986649
Risen,2016,drama film/historical film,"event in the Christian faith, Gospel episode represented in the cycle of the Passion of Christ Central teaching of Christianity; Luke 24:1-11",http://www.wikidata.org/entity/Q18202491
Room Full of Spoons,2016,documentary film,2003 film directed by Tommy Wiseau,http://www.wikidata.org/entity/Q24608003
Roye Albrighton: Up Close,2016,documentary film,"British rock guitarist, songwriter (1949-2016)",http://www.wikidata.org/entity/Q27051902
Sacred Water,2016,documentary film,expulsion of fluid during or before an orgasm,http://www.wikidata.org/entity/Q77894895
Sami Blood,2016,drama film,differential treatment based on membership of a certain group/aspect of history/measures to increase the influence of Swedish culture and language,http://www.wikidata.org/entity/Q27536918
"Sex, Maracas & Chihuahuas",2016,documentary film/biographical film,Spanish musician,http://www.wikidata.org/entity/Q23929286
She Sings for Me,2016,fiction film,"literary style characterized by a strong expressiveness of words/group of people affiliated by consanguinity, law, affinity, or co-residence",http://www.wikidata.org/entity/Q107613896
Shukranallah,2016,documentary film/biographical film,Indian musician and composer duo,http://www.wikidata.org/entity/Q50408250
Silence,2016,drama film/historical film/film based on a novel,,http://www.wikidata.org/entity/Q18811634
Sky Ladder: The Art of Cai Guo-Qiang,2016,documentary film,Chinese installation artist,http://www.wikidata.org/entity/Q24660088
Slap Worthy,2016,comedy film,social behavior that suggests interest in a deeper relationship with the other person,http://www.wikidata.org/entity/Q31209919
Sneekweek,2016,comedy film/slasher film,"event in Friesland, Netherlands",http://www.wikidata.org/entity/Q22443136
Snowden,2016,drama film/action film/biographical film/thriller film/film based on books,U.S. signals intelligence organization/American whistleblower and former NSA contractor (born 1983)/disclosures of NSA and related global espionage,http://www.wikidata.org/entity/Q19315473
Son of Saul,2016,drama film/war film,genocide of European Jews by Nazi Germany carried out during the second world war/work units of German Nazi death camp prisoners forced to dispose of corpses,http://www.wikidata.org/entity/Q19816400
Sonita,2016,documentary film/biographical film,Afghan rapper and activist,http://www.wikidata.org/entity/Q24052861
Sono Guido e non guido,2016,mockumentary,,http://www.wikidata.org/entity/Q105546467
Sour Grapes,2016,documentary film,Indonesian wine collector and wine counterfeiter,http://www.wikidata.org/entity/Q24676839
South of 8,2016,action film/heist film/crime film/thriller film/crime thriller/dystopian film,severe economic crisis in the USA in the 1930s,http://www.wikidata.org/entity/Q27536704
Spectral,2016,science fiction film/thriller film,"science fiction subgenre/genre of fiction, that refers to phenomena that are forever outside the realm of scientific explanation, such as god, the afterlife, and the soul",http://www.wikidata.org/entity/Q17763215
Split,2016,horror film/thriller film,"mental disorder, characterized by multiple personality states and amnesia",http://www.wikidata.org/entity/Q21869840
Steve Jobs,2016,drama film/biographical film,American entrepreneur; co-founder of Apple Inc. (1955–2011),http://www.wikidata.org/entity/Q18754959
Stranger in Paradise,2016,essay film,migration movement that is judged critically due to dimensions or conditions,http://www.wikidata.org/entity/Q85915104
Strike a Pose,2016,documentary film/LGBT-related film,"1990 concert tour by Madonna/dance and performance style/original song written and composed by Madonna, Shep Pettibone/Black and Latino LGBT subculture in the United States",http://www.wikidata.org/entity/Q22674233
Su nombre es Fujimori,2016,documentary film,Peruvian government from 1990 to 2000,http://www.wikidata.org/entity/Q105980782
Suite française,2016,drama film/romance film/film based on a novel,1939–1945 global conflict,http://www.wikidata.org/entity/Q13722122
Sultan,2016,drama film/action film,full-contact combat sport,http://www.wikidata.org/entity/Q20762695
Sumé – The Sound of a Revolution,2016,documentary film/biographical film/musical film,Greenlandic rock band,http://www.wikidata.org/entity/Q20729560
Swim the Channel,2016,documentary film,swimming across the Channel,http://www.wikidata.org/entity/Q27043312
Swiss Army Man,2016,drama film/tragicomedy/buddy film/comedy drama,"concept within the disciplines of the social sciences and within political science/feeling of apprehension, discomfort or awkwardness in the presence of other people/thoughts, ideas, or ruminations about the possibility of ending one's life/cheerful enjoyment of life; an exultation of spirit/romantic concept of moving from a feeling of neutrality towards a person to one of love/acceptance of self",http://www.wikidata.org/entity/Q21528092
Tadmor,2016,documentary film,former prison in Syria,http://www.wikidata.org/entity/Q113172286
Taste of Cherry,2016,drama film/road movie/drama fiction,intentional act of causing one's own death,http://www.wikidata.org/entity/Q794178
Te Ata,2016,drama film/biographical film/historical film,American actress (1895-1995),http://www.wikidata.org/entity/Q50384727
Team Refugee,2016,documentary film,Olympic delegation at the 2016 Summer Olympics,http://www.wikidata.org/entity/Q27043362
Telescope,2016,documentary film,NASA/ESA/CSA space telescope launched in 2021/aspect of history,http://www.wikidata.org/entity/Q24634873
Tell the World,2016,non-fiction film/Christian film,Protestant denominational family/aspect of history,http://www.wikidata.org/entity/Q115164336
Tesla,2016,documentary film,Serbian-American inventor (1856–1943),http://www.wikidata.org/entity/Q27701406
The 100 Years Show,2016,documentary film,Cuban painter and sculptor,http://www.wikidata.org/entity/Q28312306
The 5th Wave,2016,action film/science fiction film/dystopian film/film based on a novel,"common theme in science fiction stories and film/type of supposed alien spacecraft, or UFO",http://www.wikidata.org/entity/Q17436508
The Abolitionists,2016,documentary film/drama film/crime film,engaging in sexual relations in exchange for payment,http://www.wikidata.org/entity/Q18703050
The Accountant,2016,drama film/action film/crime film/mystery film/thriller film,"neurodevelopmental condition/murder of a prominent person, often a political leader or ruler",http://www.wikidata.org/entity/Q18883455
The African Doctor,2016,comedy film/comedy drama,"dislike of that which is perceived to be foreign or strange/French rapper/racial and multi-ethnic group/overview about racism in France/public acknowledgement of person's status or merits/characteristics, personality traits, and viewpoints associated with rural areas and societies/process of interaction between members of different cultures",http://www.wikidata.org/entity/Q21007639
The Amateur,2016,documentary film,Italian architect (1888–1967),http://www.wikidata.org/entity/Q26915620
The Art of Organized Noize,2016,documentary film,"American production team from Atlanta, Georgia",http://www.wikidata.org/entity/Q24606764
The Bacchus Lady,2016,drama film,elderly prostitutes in South Korea,http://www.wikidata.org/entity/Q22903362
The Ballad of Exiles Yilmaz Guney,2016,documentary film/historical film,"Turkish film director, scenarist, novelist and actor (1937-1984)",http://www.wikidata.org/entity/Q26905007
The Big Short,2016,drama film/biographical film/comedy drama/crime film/film based on books,global financial crisis triggered by bursting of the United States housing bubble and the devaluation of housing-related securities/economic bubble in the United States in the 2000s and 2010s,http://www.wikidata.org/entity/Q19850715
The Bomb,2016,documentary film,history of the development of nuclear weapons,http://www.wikidata.org/entity/Q47538946
The Bookseller,2016,documentary film,French writer and diplomat,http://www.wikidata.org/entity/Q57628344
The Boy,2016,horror film/thriller film,"attempt to conceal evidence of wrongdoing or failures/lack of contact between an individual and society, which is a risk factor for one of any age/passive form of abuse where the perpetrator, who is responsible for caring for someone who is unable to care for themselves, fails to do so/act of shutting out or keeping apart from society",http://www.wikidata.org/entity/Q19850968
The Boy Who Found Gold,2016,documentary film,American painter and Catholic priest,http://www.wikidata.org/entity/Q26868935
The Clan,2016,drama film/biographical film/crime film/thriller film,"group of people affiliated by consanguinity, law, affinity, or co-residence/use of physical force or power for coercion or as punishment/taking away or transportation of a person against that person's will/Argentine criminal family",http://www.wikidata.org/entity/Q18709329
The Conspiracy Files: Who Shot Down MH17?,2016,documentary film,downing of a Malaysian civilian airliner by a missile on 17 July 2014,http://www.wikidata.org/entity/Q26914798
The Dancer,2016,drama film/biographical film/musical film,"strong, positive emotion based on affection/rhythmic movement of the body/works that are experimental or innovative/application of better solutions that meet new requirements, inarticulated needs, or existing market needs/American dancer (1862–1928)/genre of western concert or theatrical dance/stage dance from the 1890s",http://www.wikidata.org/entity/Q23768068
The Darkest Dawn,2016,science fiction film,common theme in science fiction stories and film,http://www.wikidata.org/entity/Q51879616
The Darkness,2016,horror film,entites or phenomena that are thought to be beyond the laws of nature,http://www.wikidata.org/entity/Q17508638
The First Monday in May,2016,documentary film,annual fundraising gala for the Metropolitan Museum of Art's Costume Institute/exhibition at the Metropolitan Museum of Art,http://www.wikidata.org/entity/Q24034514
The Girl with All the Gifts,2016,drama film/adventure film/post-apocalyptic film/zombie film/dystopian film/film based on a novel,rapid spread of infectious disease to a large number of people in a given population within a short period of time,http://www.wikidata.org/entity/Q20649318
The Good Postman,2016,documentary film,type of displaced person,http://www.wikidata.org/entity/Q30605531
The Great Wall,2016,drama film/fantasy film/action film/adventure film/science fiction film,series of fortifications built along the historical border of China,http://www.wikidata.org/entity/Q19587336
The Grown-Ups,2016,documentary film,chromosomal condition characterized by flat-looking facial features and weak muscle tone in infancy,http://www.wikidata.org/entity/Q110734322
The Hateful Eight,2016,drama film/Western film,"ability to influence the behavior of others/use of physical force or power for coercion or as punishment/deep and emotional extreme dislike/person who catches fugitives for a monetary reward/lack of trust, suspicious and cautious attitude/military tactics to attack the enemy by surprise",http://www.wikidata.org/entity/Q18225084
The Housemaid,2016,drama film/erotic thriller,ability to influence the behavior of others/person who works within the scope of a residence/form in which people experience and express themselves sexually/abundance of value/extramarital sex without the consent of the married participant's spouse/behavior and life style of people with the highest levels of wealth and social status/societal relation between the classes as part of social reality,http://www.wikidata.org/entity/Q485782
The Idol,2016,drama film/comedy film,Palestinian singer,http://www.wikidata.org/entity/Q20751326
The Journey Is the Destination,2016,drama film,"Kenyan photojournalist, artist and activist",http://www.wikidata.org/entity/Q46997880
The Land of Mine,2016,documentary film,"nickel mine in Sotkamo, Finland",http://www.wikidata.org/entity/Q24707880
The Last Witch Hunter,2016,fantasy film/action film/horror film/dark fantasy,alleged or fictional practice of magical skills and abilities,http://www.wikidata.org/entity/Q17984058
The Legend of Tarzan,2016,action film/adventure film,fictional character by Edgar Rice Burroughs,http://www.wikidata.org/entity/Q17361809
The Line,2016,drama film/melodrama/historical film,armed conflict that took place in the late 1980s to May 1994,http://www.wikidata.org/entity/Q27835199
The Lobster,2016,science fiction film/romantic comedy/dystopian film/arthouse science fiction film,love based relationship,http://www.wikidata.org/entity/Q16996794
The Long Excuse,2016,drama film,reaction to loss of someone or something close or important,http://www.wikidata.org/entity/Q24869569
The Lost City of Z,2016,drama film/action film/adventure film/biographical film,"race or ethnic-based discrimination/journey undertaken by a scientist or an artist for the purpose of undertaking field work collecting data or deepening knowledge and skills in the participant's area of expertise/British explorer, anthropologist and archaeologist/pre-Columbian inhabitants of South America/civilization existing in ancient days",http://www.wikidata.org/entity/Q20814623
The Magnitsky Act. Behind the Scenes,2016,documentary film,Russian tax advisor who died in police custody/bill passed by the U.S. Congress intending to punish Russian officials responsible for the death of Sergei Magnitsky,http://www.wikidata.org/entity/Q26899532
The Man Who Knew Infinity,2016,drama film/biographical film,"collegiate public research university in Cambridge, England, United Kingdom/Indian mathematician (1887–1920)/British mathematician (1877–1947)",http://www.wikidata.org/entity/Q20992425
The Map Against the World,2016,drama film/film based on literature,Korean geographer and cartographer (1804-1866),http://www.wikidata.org/entity/Q22972791
The Mine,2016,drama film,"nickel mine in Sotkamo, Finland",http://www.wikidata.org/entity/Q25461436
The Most Dangerous Band in the World,2016,documentary film,American musical group,http://www.wikidata.org/entity/Q26829660
The Neon Demon,2016,drama film/horror film/psychological horror/mystery film/thriller film/LGBT-related film,"aesthetic concept/resentful emotion that “occurs when a person lacks another’s (perceived) superior quality, achievement or possession and wishes that the other lacked it”/time of life when one is young/state of two people or groups engaging in a lasting competitive relationship/person employed to display, advertise and promote products, or to serve as a visual aid",http://www.wikidata.org/entity/Q19750881
The Passionate Pursuits of Angela Bowen,2016,biographical film/documentary/LGBT-related film,,http://www.wikidata.org/entity/Q63982066
The Peach Blossom Garden,2016,documentary film,,http://www.wikidata.org/entity/Q24707899
The Salesman,2016,drama film/rape and revenge film/thriller film,act of conveying intended meaning/use of physical force or power for coercion or as punishment/physical or emotional intimacy between humans/extrajudicial punishment that is motivated by the nonexistence of law and order or dissatisfaction with judicial punishment/harmful action in response to a grievance,http://www.wikidata.org/entity/Q22344480
The Siege of Jadotville,2016,drama film/war film,1961 Irish UN troops defend against attack by Belgian and Kanganese soldiers,http://www.wikidata.org/entity/Q27149578
The Student,2016,drama film,uncritical devotion to a religion,http://www.wikidata.org/entity/Q23925050
The Survivalist,2016,drama film/science fiction film/post-apocalyptic film/thriller film,"killing of a human being by another human being. Use as value for ""manner of death"" (P1196)/skills/process of development of a close, interpersonal relationship/scenario after doomsday",http://www.wikidata.org/entity/Q22674244
The Teacher,2016,drama film,"person who helps others to acquire knowledge, competences or values",http://www.wikidata.org/entity/Q16963172
The Treasure,2016,comedy film,economy of the country/physical search for treasure,http://www.wikidata.org/entity/Q19898063
The Tribe,2016,drama film,engaging in sexual relations in exchange for payment,http://www.wikidata.org/entity/Q16939876
The War Show,2016,documentary film,Protests and revolutions in the Arab world in the 2010s/ongoing multi-sided civil war in Syria since 2011,http://www.wikidata.org/entity/Q26883847
The Wind's Fierce,2016,drama film,Spanish poet,http://www.wikidata.org/entity/Q56741905
There Will Be No Stay,2016,documentary film/drama film/biographical film/crime film,official that executes a condemned person,http://www.wikidata.org/entity/Q23755329
Toni Erdmann,2016,drama film/comedy film,"unusual or odd behavior on the part of an individual/political philosophy that supports economic liberalization/difference of opinions between one generation and another regarding beliefs, politics, or values/social and emotional relationship between a parent and their child/advancing one's career, often at the cost of one's integrity/set of social practices, social norms, values and patterns of behavior that are attributed to the capitalist economic system in a capitalist society/term used in psychology to reflect a person's overall emotional evaluation of their own worth",http://www.wikidata.org/entity/Q23838395
Tracking Edith,2016,documentary film/biographical film,Soviet spy and photographer,http://www.wikidata.org/entity/Q42325232
Train Driver's Diary,2016,comedy film,person who operates a train on a railroad or railway/Deliberate death by means of a railway vehicle,http://www.wikidata.org/entity/Q26683595
Vaxxed,2016,propaganda film,"claims of a link between the measles, mumps and rubella (MMR) vaccine and autistic spectrum disorder",http://www.wikidata.org/entity/Q23636033
Volhynia,2016,drama film/war film,genocide of Poles by Ukrainians during World War II in Volhynia region,http://www.wikidata.org/entity/Q27149954
We Are Pregnant,2016,comedy film/romantic comedy,time of human offspring development in mother's body,http://www.wikidata.org/entity/Q22384647
Weiner,2016,documentary film,American politician (born 1964),http://www.wikidata.org/entity/Q25136748
We’ll Be Alright,2016,documentary film,inalienable fundamental rights to which a person is inherently entitled/residential institution devoted to the care of orphans/hospital treating serious mental disorders/legal process through which an individual who is deemed to have symptoms of severe mental disorder loses freedoms,http://www.wikidata.org/entity/Q87990737
What Is ASMR?,2016,documentary film,phenomena of sensory perception,http://www.wikidata.org/entity/Q27042049
Wiener-Dog,2016,comedy film/comedy drama,"characteristics and key events that compose the essentials of human existence/state of being mortal, or susceptible to death; the opposite of immortality/form of animal keeping/people that belong to social community but are not fully incorporated/phenomenon studied by anthrozoology and practiced by animal attendants and others/event or state when a goal is ultimately not accomplished/condition of being unhappy",http://www.wikidata.org/entity/Q20650045
Women of 1915,2016,documentary film,systematic destruction of the Armenian people and identity in the Ottoman Empire during World War I implemented by the Ottoman authorities through mass murder,http://www.wikidata.org/entity/Q26919613
"Zachary Richard, Cajun Heart",2016,documentary film,"activities associated with group decisions/qualities, beliefs, personality, looks and/or expressions that distinguish a person or group",http://www.wikidata.org/entity/Q55600218
Zama,2016,drama film,"creation and maintenance of colonies by people from another territory/extremely unreasonable, so as to be foolish or not taken seriously/attributes associated with boys and men/delaying action until an expected event/psychology concept",http://www.wikidata.org/entity/Q22931120
Zero Motivation,2016,comedy drama,emotional state/combined military forces of Israel/performing the service in the armed forces of a state/compulsory enlistment into national or military service/women participating in military activities/management of organization,http://www.wikidata.org/entity/Q17351649
documenta 1955,2016,documentary film,first documenta edition,http://www.wikidata.org/entity/Q28872065
"Édouard, mon pote de droite",2016,documentary film,Prime Minister of France from 2017 to 2020,http://www.wikidata.org/entity/Q50825834
10 Days in Sun City,2017,satire/drama film/comedy film/romantic comedy,"strong, positive emotion based on affection/individual's journey through learning, work, and other aspects of life",http://www.wikidata.org/entity/Q51756477
11/8/16,2017,documentary film,58th quadrennial U.S. presidential election/Tuesday in November 2016,http://www.wikidata.org/entity/Q105787389
18 Days,2017,drama film/political film,Protests and revolutions in the Arab world in the 2010s,http://www.wikidata.org/entity/Q339907
1945,2017,drama film,review of the topic,http://www.wikidata.org/entity/Q28954020
200 Meat Dogs Saved from Korea,2017,documentary film,idea that the needs of non-human animals should be afforded the same consideration as those of human beings/meat from dogs used as food,http://www.wikidata.org/entity/Q40314487
21 x New York,2017,documentary film,most populous city in the United States,http://www.wikidata.org/entity/Q85296314
3 Stolen Cameras,2017,documentary film,military conflict,http://www.wikidata.org/entity/Q63438817
33 & Beyond: The Royal Art of Freemasonry,2017,documentary film,,http://www.wikidata.org/entity/Q105788569
42 Grams,2017,documentary film,characteristic style of cooking practices and traditions,http://www.wikidata.org/entity/Q105013856
47 Meters Down,2017,drama film/horror film/thriller film,superorder of predatory cartilaginous fish,http://www.wikidata.org/entity/Q23709802
6 Days,2017,political thriller film,siege that took place in London from 30 April to 5 May 1980,http://www.wikidata.org/entity/Q30544652
6.9 on the Richter Scale,2017,comedy film/musical film,transition of identity and self-confidence/one of the four classical branches in the theater,http://www.wikidata.org/entity/Q29581051
78/52,2017,documentary film,scene from the 1960 film Psycho,http://www.wikidata.org/entity/Q48839262
9/11,2017,drama film/thriller film,2001 Islamist terrorist attacks in the U.S.,http://www.wikidata.org/entity/Q28536668
A Fantastic Woman,2017,drama film/LGBT-related film,"hatred, irrational fear, prejudice, or discrimination against transgender people/state of emotions of a person to whom something irreversible happened that leads to a feeling of sadness or regret; most often occurring e.g. after a beloved one died, or a long relationship split up/ability to cope with a life crisis, adapt in the face of stressors, or to adjust and return to pre-crisis status/emotional, physical, sexual or verbal violence against transgender persons/death of subject's intimate partner",http://www.wikidata.org/entity/Q28127580
A Gentle Creature,2017,drama film,"group of people related to each other through persistent relations/use of physical force or power for coercion or as punishment/extremely unreasonable, so as to be foolish or not taken seriously/abasement of pride/psychological term; state of mind/paraphilia in which a subject derives gratification from giving pain",http://www.wikidata.org/entity/Q29382552
A Hustler's Diary,2017,comedy film,"geographically localised community within a larger city, town or suburb/experience one may have when moving to a cultural environment which is different from one's own/persistent social phenomenon of criminal offenses being committed",http://www.wikidata.org/entity/Q29384719
A Monster Calls,2017,drama film/fantasy film/horror film,"state of emotions of a person to whom something irreversible happened that leads to a feeling of sadness or regret; most often occurring e.g. after a beloved one died, or a long relationship split up/reaction to loss of someone or something close or important/social and emotional relationship between a parent and their child/incurable disease unable to be treated that will almost certainly result in the patient's death/strategies used during the confrontation with some events to reduce unpleasant emotions/dichotomy in religion, ethics, and philosophy/death of a parent or another person in this role",http://www.wikidata.org/entity/Q18200409
A Shot in the Dark,2017,documentary film,blind American athlete,http://www.wikidata.org/entity/Q109448387
A Way,2017,documentary film,Polish television station for Belarus,http://www.wikidata.org/entity/Q92737228
Abracadabra,2017,fantasy film/comedy drama/black comedy film,a state of increased receptivity to suggestion and direction,http://www.wikidata.org/entity/Q34937943
Against the Law,2017,drama film/biographical film/romance film,"lesbian, gay, bisexual, and transgender persons",http://www.wikidata.org/entity/Q50885584
Ajji,2017,drama film,Rape incidents in India,http://www.wikidata.org/entity/Q42954546
Alien Contact: Outer Space,2017,documentary film/science fiction film,explanation that invokes a conspiracy/life that does not originate from Earth,http://www.wikidata.org/entity/Q48712434
Alien: Covenant,2017,action film/horror film/science fiction film,life that does not originate from Earth,http://www.wikidata.org/entity/Q20430699
All the Dictator's Men,2017,documentary film,sovereign state in East Asia,http://www.wikidata.org/entity/Q57983648
All the Other Days (Los demás días),2017,documentary film,"branch of medicine, care for patients in terminal phase of incurable illness",http://www.wikidata.org/entity/Q98836401
Along with the Gods: The Two Worlds,2017,drama film/fantasy film,Indian religion/Folk Religion of Korean Peninsula/mythology that existed in the Korean Peninsula from ancient times/form of Confucianism that emerged and developed in Korea,http://www.wikidata.org/entity/Q26252639
AlphaGo,2017,documentary film,computer program developed by Google DeepMind to play the board game Go/Go match between AlphaGo and Lee Sedol,http://www.wikidata.org/entity/Q40415503
Amelie rennt,2017,teen film,long-term disease involving inflamed airways,http://www.wikidata.org/entity/Q28736892
American Circumcision,2017,documentary film,removal of the foreskin from the human penis,http://www.wikidata.org/entity/Q60467034
Amityville: The Awakening,2017,horror film/psychological horror,house or other building often perceived as being inhabited by disembodied spirits of the deceased,http://www.wikidata.org/entity/Q17476653
"Ana, mon amour",2017,drama film,"process of weakening an emotional bond or dependency, e.g. when children gain independence from their parents/managerial function in psychology relating to how a person regulates themselves or wishes to regulate their environment/concept found in moral, political, and bioethical philosophy/physical or emotional intimacy between humans/behaviour aimed at building a good relationship",http://www.wikidata.org/entity/Q28127578
Anarchist from Colony,2017,drama film/political film,overview of anarchism in Korea,http://www.wikidata.org/entity/Q28224697
Architects of Denial,2017,documentary film,systematic destruction of the Armenian people and identity in the Ottoman Empire during World War I implemented by the Ottoman authorities through mass murder,http://www.wikidata.org/entity/Q41827903
Artykuł osiemnasty,2017,documentary film,marriage of persons of the same sex or gender,http://www.wikidata.org/entity/Q99934413
Assumption,2017,drama film/science fiction film,vertical transport device,http://www.wikidata.org/entity/Q27964319
Atomic Homefront,2017,documentary film,waste containing radioactive material and emitting ionizing radiation,http://www.wikidata.org/entity/Q48964940
Ava,2017,drama film,"complete or nearly complete lack of vision; visual acuity worse than 3/60/transitional stage of physical and psychological development/decreased ability to see/sexuality by age range/minor or a person under an arbitrary age, who has left the home of the parent or legal guardian without permission/process of development of a close, interpersonal relationship/developmental process for adolescents to become independent",http://www.wikidata.org/entity/Q29840920
"Awake, a Dream from Standing Rock",2017,documentary film,Series of protests against the construction of the Dakota Access Pipeline,http://www.wikidata.org/entity/Q117843165
Axe: Music of a People,2017,documentary film,"music genre originated in Salvador, Bahia, Brazil",http://www.wikidata.org/entity/Q56347224
BPM (Beats per Minute),2017,drama film/LGBT-related film,"international AIDS activism, direct action and advocacy group/rights of lesbian, gay, bisexual and transgender people in France/social movements/civil rights of LGBT people",http://www.wikidata.org/entity/Q29378617
Barbara,2017,drama film/musical film,French recording artist; singer-songwriter,http://www.wikidata.org/entity/Q29390287
Barbra: The Music ... The Mem'ries ... The Magic!,2017,concert film,2016–17 concert tour by Barbra Streisand,http://www.wikidata.org/entity/Q50618778
Barão Vermelho: Por que a Gente é Assim?,2017,documentary film/rockumentary,Brazilian musical group; rock band,http://www.wikidata.org/entity/Q97162066
Battle of the Sexes,2017,drama film/biographical film/comedy drama/LGBT-related film,American tennis player (born 1943),http://www.wikidata.org/entity/Q24067722
Becoming Warren Buffett,2017,documentary film/biographical film,"American investor, entrepreneur and businessman",http://www.wikidata.org/entity/Q55393201
Before My Feet Touch The Ground,2017,documentary film,also known as J14 protests/Israeli political activist,http://www.wikidata.org/entity/Q46844202
Berlin Rebel High School,2017,documentary film,institution for the education of students by teachers/form of learning adults engage in beyond traditional schooling,http://www.wikidata.org/entity/Q28791094
Beyond Skyline,2017,action film/horror film/adventure film/science fiction film/thriller film,"life that does not originate from Earth/common theme in science fiction stories and film/type of supposed alien spacecraft, or UFO",http://www.wikidata.org/entity/Q18811589
Bhuban Majhi,2017,drama film,conflict that led to the independence of the majority-Bengali country,http://www.wikidata.org/entity/Q28834970
"Bill Direen, A Memory of Others",2017,documentary film,New Zealand writer and musician,http://www.wikidata.org/entity/Q98961656
Bill Nye: Science Guy,2017,documentary film,"American science educator, comedian, television host, actor, writer, scientist and former mechanical engineer",http://www.wikidata.org/entity/Q30687521
Birth of a Family,2017,documentary film,"first inhabitants of an area and their descendants/system in which a minor has been placed into a ward, group home, or private home of a state-certified caregiver, referred to as a ""foster parent""",http://www.wikidata.org/entity/Q50819332
Bitter Harvest,2017,drama film/romance film/historical film,man-made famine in Soviet Ukraine from 1932 to 1933 that killed millions of Ukrainians,http://www.wikidata.org/entity/Q17004445
Bleed for This,2017,drama film/biographical film/boxing film,full-contact combat sport,http://www.wikidata.org/entity/Q18644475
Blue My Mind,2017,drama film/fantasy film/coming-of-age film,legendary aquatic creature with the upper body of a female human and the fin of a fish,http://www.wikidata.org/entity/Q47539767
Bomb Scared,2017,comedy film/black comedy film,Internal conflict in Spain,http://www.wikidata.org/entity/Q39933149
Bombshell: The Hedy Lamarr Story,2017,documentary film/biographical film,Austrian-American actress and co-inventor of an early technique for spread spectrum communications and frequency hopping (1914-2000),http://www.wikidata.org/entity/Q44492116
Bones of Contention,2017,documentary film,,http://www.wikidata.org/entity/Q96832635
